"Task Type","Task ID","Task Name","Parent ID","Parent Name","Parent URL","Status","Task Content","Assignee","Priority","Latest Comment","Comment Count","Assigned Comment Count","Due Date","Start Date","Date Created","Date Updated","Date Closed","Date Done","Created By","Space","Folder","List","Subtask ID's","Subtask URL's","tags","Lists","Sprints","Linked Tasks","Linked Docs","Time Logged","Time Logged Rolled Up","Time Estimate","Points Estimate","Points Estimate Rolled Up"
"Task","868gp0vvy","Pool downselection","868gp0v5r","1.2: Integrate MAM01 into new Opto-Chassis (GAVPO & Cry2Oligo)","https://app.clickup.com/t/868gp0v5r","to do","
","[]","none","",0,0,"Thursday, January 8th 2026","Thursday, January 8th 2026","Wednesday, December 10th 2025, 3:30:49 pm -08:00","Wednesday, December 17th 2025, 2:38:56 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0vw3","Load Beacon","868gp0v5r","1.2: Integrate MAM01 into new Opto-Chassis (GAVPO & Cry2Oligo)","https://app.clickup.com/t/868gp0v5r","to do","
","[]","none","",0,0,"Friday, January 9th 2026","Friday, January 9th 2026","Wednesday, December 10th 2025, 3:30:49 pm -08:00","Thursday, December 11th 2025, 12:01:59 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0vw7","Export single cell clones from Beacon","868gp0v5r","1.2: Integrate MAM01 into new Opto-Chassis (GAVPO & Cry2Oligo)","https://app.clickup.com/t/868gp0v5r","to do","
","[]","none","",0,0,"Friday, January 16th 2026","Saturday, January 10th 2026","Wednesday, December 10th 2025, 3:30:50 pm -08:00","Thursday, December 11th 2025, 12:02:29 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0vjj","Handoff cry2oligo pools from CLD (Amritha)","868gp0v5r","1.2: Integrate MAM01 into new Opto-Chassis (GAVPO & Cry2Oligo)","https://app.clickup.com/t/868gp0v5r","to do","
","[Amritha Menon]","none","",0,0,"Friday, January 16th 2026","Friday, January 16th 2026","Wednesday, December 10th 2025, 3:30:04 pm -08:00","Wednesday, December 17th 2025, 2:48:46 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gpdjb5","Clonal expansion from beacon","868gp0v5r","1.2: Integrate MAM01 into new Opto-Chassis (GAVPO & Cry2Oligo)","https://app.clickup.com/t/868gp0v5r","to do","
","[]","none","",0,0,"Saturday, January 31st 2026","Saturday, January 17th 2026","Thursday, December 11th 2025, 12:02:48 pm -08:00","Wednesday, December 17th 2025, 2:48:55 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0vwd","Production screen 24 DWP 5-day production","868gp0v5r","1.2: Integrate MAM01 into new Opto-Chassis (GAVPO & Cry2Oligo)","https://app.clickup.com/t/868gp0v5r","to do","
","[]","none","",0,0,"Friday, February 6th 2026","Sunday, February 1st 2026","Wednesday, December 10th 2025, 3:30:50 pm -08:00","Thursday, December 11th 2025, 12:04:39 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0vwh","Screen data clone downselection","868gp0v5r","1.2: Integrate MAM01 into new Opto-Chassis (GAVPO & Cry2Oligo)","https://app.clickup.com/t/868gp0v5r","to do","
","[]","none","",0,0,"Saturday, February 7th 2026","Saturday, February 7th 2026","Wednesday, December 10th 2025, 3:30:51 pm -08:00","Thursday, December 11th 2025, 12:04:44 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0vwm","BPD handoff","868gp0v5r","1.2: Integrate MAM01 into new Opto-Chassis (GAVPO & Cry2Oligo)","https://app.clickup.com/t/868gp0v5r","to do","
","[]","none","",0,0,"Sunday, February 8th 2026","Sunday, February 8th 2026","Wednesday, December 10th 2025, 3:30:51 pm -08:00","Thursday, December 11th 2025, 12:04:51 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","868gp0qpj","Aim 1: Cell Line Generation","https://app.clickup.com/t/868gp0qpj","to do","Deliver MAM01 and transactivator simultaneously into CHOZN Elite WT parent line. Engineer EF1a GAVPO vector with blasticidin selection marker for cotransfection with antibody and double selection. All current opto chassis hosts do not have a selection marker for the transactivator, which can cause the transactivator to be lost over time. Introduction of EF1a GAVPO with a selection marker will increase transactivator stability.

Cell Line: CHOZN Elite WT

Constructs:
P_2117_CMV_MAM01_Hc_BGHpolyA_CMV_MAM01_Lc_BGHpolyA_CMV_MAM01_Lc_BGHpolyA_SV40p_Glutamine_Synthetase_BGHpolyA
P_2122A_UAS_MAM01_Hc_BGHpolyA_UAS_MAM01_Lc_BGHpolyA_UAS_MAM01_Lc_BGHpolyA_SV40p_Glutamine_Synthetase_BGHpolyA
P_2701_CMV_CMV_intron_MAM01_Hc_BGHpolyA_CMV_CMV_intron_MAM01_Lc_BGHpolyA_CMV_CMV_intron_MAM01_Lc_BGHpolyA_SV40p_Glutamine_Synthetase_BGHpolyA
P_2702_CMV_EF1a_intron_MAM01_Hc_BGHpolyA_CMV_EF1a_intron_MAM01_Lc_BGHpolyA_CMV_EF1a_intron_MAM01_Lc_BGHpolyA_SV40p_Glutamine_Synthetase_BGHpolyA
P_2705_8xUAS_CMV_intron_MAM01_Hc_BGHpolyA_8xUAS_CMV_intron_MAM01_Lc_BGHpolyA_8xUAS_CMV_intron_MAM01_Lc_BGHpolyA_SV40p_Glutamine_Synthetase_BGHpolyA
P_2706_8xUAS_EF1a_intron_MAM01_Hc_BGHpolyA_8xUAS_EF1a_intron_MAM01_Lc_BGHpolyA_8xUAS_EF1a_intron_MAM01_Lc_BGHpolyA_SV40p_Glutamine_Synthetase_BGHpolyA
P_2720_cHS4_EF1a_GAVPO_BGHpolyA_mPGK_Blasticidin_SV40_late_polyA_cHS4
Lonza pmaxGFP (GFP positive transfection control) 

","[]","none","",0,0,"","","Wednesday, December 10th 2025, 3:31:44 pm -08:00","Wednesday, December 10th 2025, 3:32:33 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0weq","☑ 12/3/25 Golden Gate assemble P_2719 John","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","complete","
","[]","none","",0,0,"","","Wednesday, December 10th 2025, 3:32:48 pm -08:00","Wednesday, December 10th 2025, 3:33:03 pm -08:00","Wednesday, December 10th 2025, 3:33:03 pm -08:00","Wednesday, December 10th 2025, 3:33:03 pm -08:00","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wer","☑ 12/4/25 Transform P_2719 John","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","complete","
","[]","none","",0,0,"","","Wednesday, December 10th 2025, 3:32:48 pm -08:00","Wednesday, December 10th 2025, 3:33:06 pm -08:00","Wednesday, December 10th 2025, 3:33:06 pm -08:00","Wednesday, December 10th 2025, 3:33:06 pm -08:00","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wev","12/4/25 Thaw low passage (P2-3) GLP CHOZN Elite WT Handoff CLD to Basanta","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Thursday, December 4th 2025","","Wednesday, December 10th 2025, 3:32:49 pm -08:00","Wednesday, December 10th 2025, 3:34:54 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wex","☑ 12/8/25 Pick minipreps of P_2719 John","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","complete","
","[]","none","",0,0,"","","Wednesday, December 10th 2025, 3:32:50 pm -08:00","Wednesday, December 10th 2025, 3:33:07 pm -08:00","Wednesday, December 10th 2025, 3:33:07 pm -08:00","Wednesday, December 10th 2025, 3:33:07 pm -08:00","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wez","☑ 12/9/25 Miniprep P_2719 and send for sequencing John","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","complete","
","[]","none","",0,0,"","","Wednesday, December 10th 2025, 3:32:50 pm -08:00","Wednesday, December 10th 2025, 3:33:14 pm -08:00","Wednesday, December 10th 2025, 3:33:14 pm -08:00","Wednesday, December 10th 2025, 3:33:14 pm -08:00","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wf3","☑ 12/10/25 Review P_2719 sequencing. Golden Gate assemble P_2720 and transform","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","complete","
","[]","none","",0,0,"","","Wednesday, December 10th 2025, 3:32:51 pm -08:00","Wednesday, December 10th 2025, 3:33:17 pm -08:00","Wednesday, December 10th 2025, 3:33:17 pm -08:00","Wednesday, December 10th 2025, 3:33:17 pm -08:00","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wra","12/15/25 Pick minipreps of P_2720 John","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Monday, December 15th 2025","","Wednesday, December 10th 2025, 3:33:42 pm -08:00","Wednesday, December 10th 2025, 3:37:54 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wrf","12/16/25 Miniprep P_2720 and send for sequencing John","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Wednesday, December 16th 2026","","Wednesday, December 10th 2025, 3:33:42 pm -08:00","Wednesday, December 10th 2025, 3:37:58 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wrm","12/17/25 Review P_2720 sequencing and send for maxiprep Nessa/John","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Wednesday, December 17th 2025","","Wednesday, December 10th 2025, 3:33:43 pm -08:00","Wednesday, December 10th 2025, 3:38:01 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wrt","12/22/25 Split CHOZN Elite WT Basanta","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Monday, December 22nd 2025","","Wednesday, December 10th 2025, 3:33:44 pm -08:00","Wednesday, December 10th 2025, 3:38:06 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wrx","12/23/25 Transfect pmaxGFP (positive control), mock (negative control), P_2117,  P_2122A, P_2701,  P_2702, P_2705, P_2706 and P_2720 with PiggyBac transposase mRNA into CHOZN Elite WT. Basanta","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Tuesday, December 23rd 2025","","Wednesday, December 10th 2025, 3:33:45 pm -08:00","Wednesday, December 10th 2025, 3:38:08 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wt2","12/26/25 Check GFP-positive cells by flow cytometry to determine transfection efficiency from electroporation. Start Glutamine Synthetase and Blasticidin pool selection of P_2117,  P_2122A, P_2701,  P_2702, P_2705, P_2706 and mock. Basanta","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Friday, December 26th 2025","","Wednesday, December 10th 2025, 3:33:45 pm -08:00","Wednesday, December 10th 2025, 3:38:12 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wt9","12/30/25 Determine viability and viable cell density of the P_2117,  P_2122A, P_2701,  P_2702, P_2705, P_2706 bulk pools and negative control bulk pool. Feed the bulk pools fresh GS/Blasticidin selection media. Basanta","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Tuesday, December 30th 2025","","Wednesday, December 10th 2025, 3:33:46 pm -08:00","Wednesday, December 10th 2025, 3:38:14 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wtk","1/2/26 Determine viability and viable cell density of the P_2117,  P_2122A, P_2701,  P_2702, P_2705, P_2706 bulk pools and negative control bulk pool. Feed the bulk pools fresh GS/Blasticidin selection media. Basanta","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Friday, January 2nd 2026","","Wednesday, December 10th 2025, 3:33:47 pm -08:00","Wednesday, December 10th 2025, 3:38:16 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wtr","1/6/26 Determine viability and viable cell density of the P_2117,  P_2122A, P_2701,  P_2702, P_2705, P_2706 bulk pools and negative control bulk pool. Feed the bulk pools fresh GS/Blasticidin selection media. Basanta","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Tuesday, January 6th 2026","","Wednesday, December 10th 2025, 3:33:47 pm -08:00","Wednesday, December 10th 2025, 3:38:18 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wtx","1/9/26 Determine viability and viable cell density of the P_2117,  P_2122A, P_2701,  P_2702, P_2705, P_2706 bulk pools and negative control bulk pool. Feed the bulk pools fresh GS/Blasticidin selection media. Basanta","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Friday, January 9th 2026","","Wednesday, December 10th 2025, 3:33:48 pm -08:00","Wednesday, December 10th 2025, 3:38:20 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wty","1/12/26 Set up 24 DWP 5-day production screen of pools. Basanta","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Monday, January 12th 2026","","Wednesday, December 10th 2025, 3:33:49 pm -08:00","Wednesday, December 10th 2025, 3:38:23 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wu1","1/16/26 Collect spent media from 5-day production screen and perform Octet titer analysis in duplicate. Basanta","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Friday, January 16th 2026","","Wednesday, December 10th 2025, 3:33:49 pm -08:00","Wednesday, December 10th 2025, 3:38:25 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"X-Deliverable","868gp0wud","1/16/26 Load top-performing pools on Beacon for clonal selection. Irfan/Amritha","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Friday, January 16th 2026","","Wednesday, December 10th 2025, 3:33:50 pm -08:00","Wednesday, December 10th 2025, 3:41:29 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"X-Deliverable","868gp0wuk","1/22/26 Export clones from Beacon Irfan/Amritha","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Thursday, January 22nd 2026","","Wednesday, December 10th 2025, 3:33:51 pm -08:00","Wednesday, December 10th 2025, 3:41:32 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wun","1/23/26 - 2/5/26 Clonal expansion static 96-well to 24-well Basanta","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Thursday, February 5th 2026","Friday, January 23rd 2026","Wednesday, December 10th 2025, 3:33:52 pm -08:00","Wednesday, December 10th 2025, 3:38:31 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wuv","2/6/26 - 2/20/26  Clonal expansion static 24-well to shaking 3.5 ml Basanta","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Friday, February 20th 2026","Friday, February 6th 2026","Wednesday, December 10th 2025, 3:33:52 pm -08:00","Wednesday, December 10th 2025, 3:38:33 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wuz","2/23/26 24 DWP or TTP 5-day production run with clones Basanta","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Friday, February 27th 2026","Friday, February 20th 2026","Wednesday, December 10th 2025, 3:33:53 pm -08:00","Wednesday, December 10th 2025, 3:38:36 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wv3","2/27/26 Collect spent media from 5-day production run and perform Octet titer analysis in duplicate. Basanta","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Friday, February 27th 2026","","Wednesday, December 10th 2025, 3:33:53 pm -08:00","Wednesday, December 10th 2025, 3:38:38 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wv7","2/27/26 Handoff spent media from 5-day production run to AnChem for HPLC titer and SEC Basanta/Brenna/Ian","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Friday, February 27th 2026","","Wednesday, December 10th 2025, 3:33:54 pm -08:00","Wednesday, December 10th 2025, 3:38:42 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wvb","3/6/26 Clonal downselection from 5-day production data Basanta","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Friday, March 6th 2026","","Wednesday, December 10th 2025, 3:33:55 pm -08:00","Wednesday, December 10th 2025, 3:38:44 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0wvp","3/13/26 Handoff MAM01 cell lines to BPD Basanta/Brandon","868gp0w73","1.3: Simultaneous TA & MAM01 transfection with double selection","https://app.clickup.com/t/868gp0w73","to do","
","[]","none","",0,0,"Friday, March 13th 2026","","Wednesday, December 10th 2025, 3:33:55 pm -08:00","Wednesday, December 10th 2025, 3:38:46 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0
"Task","868gp0z0u","1.4: Clone MAM01 into Prolific Vector Backbone","868gp0qpj","Aim 1: Cell Line Generation","https://app.clickup.com/t/868gp0qpj","to do","
","[]","none","",0,0,"","","Wednesday, December 10th 2025, 3:42:48 pm -08:00","Wednesday, December 10th 2025, 3:42:48 pm -08:00","","","Will Paton","Projects - Pre-Product","BMGF","BMGF MAM01 Timeline","[]","[]","","[BMGF MAM01 Timeline]","[]","","","","","",,0